x,N145,N1207,N2125,x,N145,N1207,N2125,x,N145,N1207,N2125
0.343075,-0.0264598,-0.0441766,-0.0494416,0.336318,-0.0256688,-0.0434717,-0.048487,0.335757,-0.0363425,-0.0425248,-0.0493456
0.348856,-0.0270005,-0.0449559,-0.0503205,0.342106,-0.0261982,-0.044248,-0.0493608,0.341505,-0.0371242,-0.0433362,-0.0502381
0.354515,-0.0275285,-0.045713,-0.0511757,0.347826,-0.0267196,-0.0450087,-0.0502171,0.347137,-0.0378905,-0.0441297,-0.0511096
0.360093,-0.0280466,-0.0464511,-0.0520096,0.353458,-0.0272316,-0.0457522,-0.0510586,0.352637,-0.0386398,-0.0449044,-0.0519582
0.365565,-0.0285536,-0.0471708,-0.0528257,0.358942,-0.0277308,-0.0464746,-0.0518769,0.358,-0.0393714,-0.04566,-0.0527836
0.37098,-0.0290534,-0.047877,-0.0536278,0.364351,-0.0282223,-0.0471831,-0.0526797,0.363296,-0.0400938,-0.0464044,-0.0535952
0.376343,-0.0295468,-0.0485714,-0.0544199,0.369648,-0.0287034,-0.0478742,-0.0534644,0.368546,-0.040809,-0.04714,-0.0543969
0.381606,-0.0300305,-0.04925,-0.0551945,0.374909,-0.0291801,-0.0485566,-0.0542397,0.373758,-0.0415176,-0.0478669,-0.0551887
0.386829,-0.0305094,-0.0499198,-0.05596,0.380103,-0.0296499,-0.0492266,-0.0550032,0.37893,-0.0422202,-0.0485869,-0.0559712
0.392011,-0.0309835,-0.0505805,-0.0567166,0.385256,-0.030115,-0.0498878,-0.055757,0.384071,-0.0429182,-0.0493018,-0.0567471
0.397165,-0.0314539,-0.0512343,-0.0574665,0.390382,-0.0305767,-0.0505421,-0.0565043,0.389186,-0.043612,-0.0500114,-0.057515
0.402295,-0.0319212,-0.0518818,-0.0582105,0.395458,-0.0310334,-0.0511878,-0.0572433,0.394275,-0.0443023,-0.0507173,-0.0582772
0.407408,-0.0323861,-0.0525244,-0.0589508,0.40052,-0.0314879,-0.0518282,-0.0579771,0.399347,-0.0449903,-0.0514209,-0.0590386
0.412508,-0.032849,-0.0531623,-0.0596853,0.405566,-0.0319402,-0.0524636,-0.0587055,0.404404,-0.0456762,-0.0521218,-0.0597915
0.417596,-0.03331,-0.0537959,-0.0604166,0.410601,-0.0323909,-0.0530951,-0.059432,0.409447,-0.0463601,-0.0528202,-0.0605409
0.422673,-0.0337696,-0.0544263,-0.0611456,0.415625,-0.0328396,-0.0537218,-0.0601506,0.414483,-0.0470431,-0.0535173,-0.0612862
0.427736,-0.0342278,-0.0550536,-0.0618712,0.420638,-0.0332875,-0.0543468,-0.0608703,0.419511,-0.0477255,-0.054214,-0.0620329
0.43278,-0.0346838,-0.0556761,-0.0625906,0.425648,-0.0337345,-0.0549683,-0.0615853,0.424534,-0.0484072,-0.0549097,-0.0627749
0.437813,-0.0351389,-0.0562959,-0.0633061,0.430655,-0.0341813,-0.0555893,-0.0623033,0.429552,-0.0490888,-0.0556054,-0.0635154
0.442839,-0.0355933,-0.0569138,-0.0640229,0.43566,-0.0346272,-0.0562065,-0.0630142,0.434567,-0.0497704,-0.0563008,-0.0642538
0.447861,-0.0360471,-0.0575299,-0.0647378,0.440665,-0.0350731,-0.056823,-0.0637256,0.439578,-0.0504517,-0.0569957,-0.0649899
0.452875,-0.0365,-0.0581431,-0.06545,0.445667,-0.0355186,-0.0574376,-0.0644364,0.444586,-0.0511334,-0.0576912,-0.0657256
0.457887,-0.0369527,-0.058755,-0.0661605,0.450669,-0.0359641,-0.0580508,-0.0651462,0.449592,-0.0518155,-0.0583867,-0.0664592
0.462895,-0.0374049,-0.0593648,-0.0668695,0.455671,-0.0364095,-0.0586628,-0.0658548,0.454596,-0.0524979,-0.0590826,-0.0671923
0.467901,-0.0378571,-0.0599738,-0.0675782,0.460672,-0.0368548,-0.0592734,-0.0665611,0.459599,-0.0531806,-0.0597785,-0.0679236
0.472906,-0.038309,-0.0605805,-0.0682845,0.465673,-0.0373002,-0.0598827,-0.0672664,0.464602,-0.0538645,-0.0604753,-0.0686543
0.47791,-0.0387608,-0.0611858,-0.0689896,0.470673,-0.0377456,-0.060491,-0.0679706,0.469604,-0.0545487,-0.061172,-0.069385
0.482913,-0.039213,-0.0617922,-0.0696967,0.475674,-0.0381912,-0.0610985,-0.0686744,0.474605,-0.0552331,-0.0618685,-0.0701119
0.487916,-0.0396647,-0.0623952,-0.0703991,0.480674,-0.0386369,-0.0617051,-0.0693781,0.479606,-0.0559184,-0.0625653,-0.070839
0.492918,-0.0401167,-0.0629979,-0.0711021,0.485674,-0.0390827,-0.0623106,-0.0700809,0.484606,-0.0566044,-0.0632631,-0.0715659
0.497919,-0.040569,-0.0635998,-0.0718037,0.490674,-0.0395284,-0.0629146,-0.0707813,0.489607,-0.0572912,-0.0639612,-0.0722913
0.50292,-0.0410207,-0.0642,-0.0725067,0.495675,-0.0399745,-0.0635183,-0.0714815,0.494607,-0.0579788,-0.0646602,-0.0730165
0.507921,-0.0414729,-0.0647997,-0.0732097,0.500675,-0.0404204,-0.0641198,-0.0721787,0.499608,-0.0586672,-0.0653596,-0.0737405
