x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0.345576,0.000665908,0.383006,0.000777189,0.359659,0.000693444,0.41524,0.00127357,0.413904,0.00127927,0.419607,0.00136727
0.350621,0.000665023,0.388199,0.000767977,0.364712,0.00068632,0.421848,0.00127817,0.420815,0.00128641,0.427381,0.00138611
0.355656,0.000661771,0.393368,0.000754384,0.369755,0.000677831,0.428316,0.00128379,0.427636,0.00129513,0.434813,0.00138752
0.360685,0.000658202,0.398485,0.00074367,0.374784,0.00067128,0.434975,0.00129748,0.434298,0.0013021,0.442034,0.0013905
0.365708,0.000653555,0.403562,0.000736768,0.379811,0.000666766,0.441634,0.00130899,0.440816,0.00130926,0.449061,0.00139389
0.370728,0.000653279,0.40863,0.000729388,0.384835,0.000662041,0.448293,0.00132049,0.447334,0.00132013,0.455912,0.00139716
0.375745,0.000645707,0.413691,0.000724172,0.389855,0.000657454,0.454807,0.0013298,0.453852,0.00133057,0.462676,0.00140251
0.38076,0.000642743,0.418743,0.000718198,0.394873,0.000653184,0.46119,0.00133872,0.460237,0.00133903,0.469287,0.00140723
0.385769,0.00064187,0.423789,0.000711457,0.399888,0.0006495,0.467452,0.00134794,0.466502,0.00134729,0.475897,0.00141483
0.390776,0.000639051,0.428825,0.000705843,0.404901,0.000647262,0.473714,0.0013597,0.472656,0.00135569,0.482368,0.00142113
0.395781,0.000637365,0.433854,0.00070362,0.409911,0.000646231,0.479866,0.00136943,0.47871,0.00136409,0.488838,0.00143048
0.400786,0.000634532,0.438877,0.000702314,0.41492,0.000643534,0.485917,0.00137914,0.484672,0.00137263,0.49518,0.00143796
0.405789,0.000631333,0.443894,0.000697303,0.419927,0.000638951,0.491877,0.00138887,0.49059,0.0013824,0.501405,0.00144518
0.410791,0.00062914,0.448909,0.000692061,0.424932,0.000635637,0.497793,0.00139956,0.496465,0.00139448,0.507524,0.00145301
0.415793,0.000625894,0.453921,0.00068872,0.429936,0.000633963,0.503628,0.00140993,0.502562,0.00141178,0.513545,0.0014607
0.420794,0.000624822,0.45893,0.000684262,0.434939,0.000630214,0.509391,0.0014205,0.508565,0.00142449,0.519477,0.00146746
0.425795,0.000620618,0.463937,0.000682754,0.439941,0.000633471,0.515087,0.00143128,0.514443,0.00143602,0.525889,0.00148598
0.430796,0.000618382,0.468944,0.00068001,0.444942,0.000636052,0.520723,0.00144233,0.520246,0.00144821,0.532178,0.00149753
0.435796,0.000615447,0.473949,0.00067806,0.449943,0.00063534,0.526303,0.00145366,0.525978,0.00145894,0.538355,0.00150784
0.440797,0.000614468,0.478953,0.000677587,0.454943,0.000633358,0.531857,0.00146585,0.531647,0.00146769,0.54443,0.00151506
0.445797,0.000612855,0.483956,0.000675379,0.459943,0.000633628,0.537362,0.00147591,0.537257,0.00147634,0.55041,0.00152172
0.450797,0.000610838,0.488958,0.000672519,0.464943,0.000629502,0.542823,0.00148452,0.542815,0.00148502,0.556306,0.00152829
0.455797,0.000610382,0.493959,0.000672292,0.469944,0.000630274,0.548244,0.00149312,0.548323,0.00149375,0.562123,0.00153345
0.460797,0.00060885,0.49896,0.00067322,0.474944,0.000642725,0.553628,0.00150187,0.553788,0.00150253,0.567869,0.00153755
0.465797,0.000607886,0.50396,0.000671758,0.479944,0.000651827,0.558979,0.0015107,0.559211,0.00151137,0.57355,0.00154153
0.470797,0.000606321,0.508961,0.000660401,0.484944,0.000649206,0.564299,0.00151965,0.564598,0.00152022,0.579147,0.00154539
