x,F893,x,F893,x,F893,x,F893,x,F893
0.457887,0.829827,0.450669,0.829556,0.449592,0.849555,0.599588,0.69477,0.599588,0.694055
0.462895,0.82978,0.455671,0.829506,0.454596,0.849527,0.609575,0.695142,0.609575,0.694416
0.467901,0.829737,0.460672,0.829458,0.459599,0.849504,0.619563,0.695514,0.619563,0.694782
0.472906,0.8297,0.465673,0.829418,0.464602,0.84949,0.629551,0.695886,0.629551,0.695143
0.47791,0.829666,0.470673,0.82938,0.469604,0.849473,0.63954,0.696258,0.639539,0.695505
0.482913,0.82961,0.475674,0.829326,0.474605,0.849458,0.64953,0.69663,0.649526,0.695867
0.487916,0.829554,0.480674,0.829268,0.479606,0.849448,0.65952,0.697002,0.659514,0.69623
0.492918,0.829503,0.485674,0.829212,0.484606,0.849439,0.669511,0.697375,0.669502,0.696592
0.497919,0.829456,0.490674,0.829162,0.489607,0.849435,0.679502,0.697747,0.679489,0.696955
0.50292,0.829413,0.495675,0.829115,0.494607,0.849433,0.689494,0.698119,0.689477,0.697317
0.507921,0.829376,0.500675,0.829073,0.499608,0.849434,0.699486,0.698491,0.699465,0.69768
0.512921,0.829339,0.505675,0.829033,0.504608,0.849437,0.709479,0.698862,0.709453,0.698042
0.517921,0.829307,0.510675,0.828999,0.509608,0.849441,0.719472,0.699233,0.71944,0.698404
0.522922,0.829278,0.515675,0.828966,0.514608,0.849449,0.729465,0.699604,0.729428,0.698766
0.527922,0.829254,0.520675,0.828938,0.519608,0.849459,0.739459,0.699975,0.739416,0.699127
0.532922,0.829232,0.525675,0.828913,0.524608,0.84947,0.749453,0.700348,0.749404,0.699488
0.537922,0.829215,0.530675,0.828892,0.529608,0.849483,0.759447,0.700717,0.759391,0.699849
0.542922,0.8292,0.535675,0.828874,0.534608,0.849499,0.769441,0.701086,0.769379,0.700209
0.547922,0.82919,0.540675,0.828858,0.539608,0.849518,0.779435,0.701454,0.779367,0.700569
0.552923,0.829182,0.545675,0.828846,0.544608,0.849538,0.789429,0.701814,0.789355,0.700929
0.557923,0.829176,0.550675,0.828838,0.549608,0.84956,0.799424,0.702191,0.799342,0.701287
0.562923,0.829174,0.555675,0.82883,0.554608,0.849586,0.809418,0.702549,0.80933,0.701646
0.567923,0.829175,0.560675,0.828825,0.559608,0.849608,0.819414,0.702924,0.819318,0.701996
0.572923,0.829179,0.565675,0.828825,0.564608,0.849637,0.829409,0.703283,0.829307,0.702361
0.577923,0.829177,0.570675,0.828822,0.569608,0.849664,0.839405,0.703656,0.839296,0.70271
0.582923,0.829172,0.575675,0.828811,0.574608,0.849696,0.849401,0.704013,0.849287,0.703074
0.587923,0.829168,0.580675,0.828802,0.579608,0.849728,0.859397,0.704378,0.859277,0.703423
0.592923,0.829168,0.585675,0.828796,0.584608,0.849761,0.869394,0.704742,0.869269,0.703785
0.597923,0.829169,0.590675,0.828793,0.589608,0.849795,0.879391,0.705105,0.87926,0.704133
0.602923,0.829174,0.595675,0.828791,0.594608,0.849831,0.889389,0.705468,0.889253,0.704486
0.607923,0.829179,0.600675,0.828792,0.599608,0.849868,0.899387,0.705831,0.899246,0.70484
0.612923,0.829189,0.605675,0.828795,0.604608,0.849906,0.909385,0.706193,0.90924,0.705193
0.617923,0.829199,0.610675,0.828801,0.609608,0.849947,0.919383,0.706554,0.919235,0.705545
0.622923,0.829213,0.615675,0.828809,0.614608,0.849987,0.929382,0.706915,0.929231,0.705897
0.627923,0.829228,0.620675,0.828817,0.619608,0.85003,0.93938,0.707275,0.939227,0.706255
0.632923,0.826552,0.625675,0.82883,0.624608,0.850072,0.949379,0.707635,0.949223,0.7066
0.637923,0.826583,0.630675,0.826145,0.629608,0.850116,0.959378,0.707994,0.959219,0.706953
0.642923,0.826616,0.635675,0.826173,0.634608,0.850161,0.969377,0.708356,0.969216,0.707299
0.647923,0.826651,0.640675,0.826201,0.639608,0.850206,0.979376,0.708711,0.979213,0.70765
0.652923,0.826688,0.645675,0.826233,0.644608,0.850252,0.989376,0.709071,0.98921,0.707999
0.657923,0.826726,0.650675,0.826267,0.649608,0.8503,0.999375,0.709429,0.999208,0.708346
0.662923,0.826766,0.655675,0.826302,0.654608,0.850349,1.00937,0.711531,1.00921,0.710554
0.667923,0.826806,0.660675,0.826337,0.659608,0.850399,1.01894,0.711482,1.01877,0.711099
0.672923,0.82685,0.665675,0.826373,0.664608,0.85045,1.0281,0.705933,1.02793,0.705594
0.677923,0.826885,0.670675,0.826411,0.669608,0.8505,1.03691,0.697413,1.03673,0.697255
0.682923,0.826923,0.675675,0.826447,0.674608,0.850467,1.04538,0.67463,1.0452,0.67469
0.687923,0.826962,0.680675,0.82648,0.678775,0.850489,1.05355,0.656621,1.05337,0.656513
0.692923,0.827001,0.685675,0.826514,0.679608,0.849264,1.06144,0.629057,1.06126,0.628822
0.697923,0.827022,0.690675,0.826549,0.684608,0.854173,1.06908,0.616056,1.0689,0.615698
0.702923,0.827015,0.695675,0.826586,0.689608,0.852714,1.07649,0.592417,1.07631,0.591996
0.707923,0.82701,0.700675,0.826625,0.694608,0.851925,1.08369,0.520569,1.08351,0.500474
0.712923,0.827006,0.705675,0.826664,0.699608,0.851564,1.0907,0.498813,1.09052,0.498624
0.717923,0.827001,0.709841,0.826655,0.704608,0.85137,1.09771,0.497631,1.09736,0.49738
0.722923,0.826999,0.714841,0.826674,0.709608,0.851262,1.10472,0.496896,1.10419,0.496598
0.727923,0.827002,0.719008,0.826609,0.714608,0.851196,1.11173,0.496304,1.11102,0.495981
0.732923,0.827002,0.724008,0.826627,0.719608,0.851131,1.11856,0.495904,1.1177,0.495514
0.737923,0.827001,0.729008,0.826617,0.724879,0.85118,1.12524,0.495811,1.12423,0.495378
0.742923,0.826997,0.733175,0.826562,0.729996,0.851183,1.13177,0.49595,1.13062,0.495449
0.747923,0.826993,0.738175,0.826588,0.735062,0.851184,1.13816,0.496356,1.13689,0.495773
0.752923,0.826992,0.742342,0.826521,0.74011,0.850602,1.14444,0.497024,1.14306,0.496351
0.757923,0.826991,0.747342,0.826538,0.745142,0.850607,1.15065,0.497947,1.14912,0.497173
0.762923,0.826989,0.751508,0.826475,0.750163,0.850614,1.15676,0.499109,1.15518,0.498237
0.767923,0.826992,0.756508,0.826497,0.755179,0.850624,1.16277,0.500503,1.16115,0.499527
0.772923,0.826994,0.761508,0.826489,0.760193,0.850635,1.16874,0.502132,1.16707,0.501047
0.777923,0.826997,0.765675,0.826434,0.765203,0.850648,1.1747,0.504,1.17299,0.5028
0.782923,0.827001,0.770675,0.826463,0.770209,0.850077,1.18067,0.506116,1.17892,0.504794
0.787923,0.827006,0.775675,0.826462,0.775214,0.850094,1.18663,0.508493,1.18484,0.507039
