x,
0,0
1,1
1.02169,1.13758
1.10785,1.4711
1.29452,1.76377
1.49556,2.05645
1.63916,2.36954
1.78276,2.70986
1.912,3.02296
2.06278,3.34966
2.2351,3.64234
2.47922,3.88737
2.79514,3.87376
3.08234,3.75124
3.36953,3.58789
3.67109,3.47898
3.97983,3.47218
4.28857,3.51302
4.56141,3.58789
4.88451,3.7104
5.16453,3.80569
5.48044,3.85334
5.78918,3.80569
6.06202,3.62873
6.25588,3.35647
6.40666,3.00254
6.5359,2.67583
6.65078,2.31509
6.74412,1.98158
6.84464,1.64126
6.94516,1.28732
7,0.994648
