x,N2571,x,N2571,x,N2571,x,N2643,x,N2643,x,N2643
0.370728,0.677804,0.40863,0.748519,0.384835,0.702113,0.448293,2.35022,0.447334,2.35323,0.455912,2.36992
0.375745,0.686737,0.413691,0.757553,0.389855,0.710986,0.454807,2.36133,0.453852,2.36426,0.462676,2.38045
0.38076,0.695646,0.418743,0.76653,0.394873,0.719841,0.46119,2.37208,0.460237,2.37491,0.469287,2.3906
0.385769,0.704543,0.423789,0.775469,0.399888,0.728679,0.467452,2.38252,0.466502,2.38527,0.475897,2.40109
0.390776,0.713424,0.428825,0.78437,0.404901,0.737504,0.473714,2.39321,0.472656,2.39538,0.482368,2.41125
0.395781,0.722298,0.433854,0.793244,0.409911,0.746317,0.479866,2.40361,0.47871,2.4053,0.488838,2.42172
0.400786,0.73116,0.438877,0.802085,0.41492,0.755122,0.485917,2.4138,0.484672,2.41507,0.49518,2.43189
0.405789,0.740016,0.443894,0.810911,0.419927,0.763919,0.491877,2.4238,0.49059,2.42488,0.501405,2.44185
0.410791,0.748868,0.448909,0.819719,0.424932,0.772707,0.497793,2.43384,0.496465,2.43475,0.507524,2.45163
0.415793,0.757711,0.453921,0.828512,0.429936,0.781489,0.503628,2.44374,0.502562,2.44584,0.513545,2.46128
0.420794,0.766555,0.45893,0.837299,0.434939,0.79027,0.509391,2.45353,0.508565,2.45664,0.519477,2.47081
0.425795,0.775392,0.463937,0.846072,0.439941,0.799046,0.515087,2.46324,0.514443,2.46705,0.525889,2.48273
0.430796,0.784229,0.468944,0.854837,0.444942,0.807827,0.520723,2.47289,0.520246,2.47731,0.532178,2.49422
0.435796,0.793057,0.473949,0.863598,0.449943,0.816601,0.526303,2.48249,0.525978,2.48744,0.538355,2.50538
0.440797,0.801892,0.478953,0.872353,0.454943,0.825369,0.531857,2.49218,0.531647,2.49746,0.54443,2.51629
0.445797,0.810718,0.483956,0.88111,0.459943,0.834139,0.537362,2.50183,0.537257,2.50739,0.55041,2.52696
0.450797,0.819543,0.488958,0.889844,0.464943,0.842903,0.542823,2.51147,0.542815,2.51727,0.556306,2.53744
0.455797,0.828373,0.493959,0.898588,0.469944,0.851676,0.548244,2.52111,0.548323,2.52709,0.562123,2.54777
0.460797,0.837198,0.49896,0.907335,0.474944,0.860441,0.553628,2.53074,0.553788,2.53688,0.567869,2.55796
0.465797,0.846024,0.50396,0.916078,0.479944,0.869224,0.558979,2.54039,0.559211,2.54665,0.57355,2.56806
0.470797,0.854848,0.508961,0.92482,0.484944,0.877999,0.564299,2.55006,0.564598,2.5564,0.579147,2.57796
0.475797,0.863678,0.513961,0.933559,0.489944,0.886777,0.569591,2.55975,0.569967,2.56622,0.584693,2.58783
0.480797,0.872499,0.518961,0.942297,0.494944,0.895567,0.574858,2.56946,0.575304,2.57603,0.59019,2.59766
0.485797,0.881329,0.523961,0.951034,0.499944,0.904345,0.580092,2.57914,0.580589,2.58574,0.595627,2.6074
0.490797,0.890157,0.528962,0.959785,0.504944,0.913136,0.585306,2.58887,0.585838,2.59543,0.601025,2.61714
0.495797,0.898984,0.533962,0.968537,0.509944,0.92192,0.590501,2.59863,0.591066,2.60515,0.606375,2.62684
0.500797,0.907808,0.538962,0.977271,0.514944,0.930713,0.595679,2.60842,0.596274,2.6149,0.61167,2.63645
0.505797,0.916637,0.543962,0.986034,0.519944,0.939508,0.600841,2.61825,0.60145,2.62462,0.61693,2.64607
0.510797,0.925462,0.548962,0.994783,0.524944,0.948314,0.605989,2.62812,0.606604,2.63437,0.622166,2.65574
0.515797,0.934295,0.553962,1.00355,0.529944,0.957119,0.611125,2.63803,0.611745,2.64415,0.627382,2.66547
0.520797,0.943129,0.558962,1.01231,0.534944,0.965926,0.616249,2.64797,0.616874,2.65399,0.632571,2.67522
0.525797,0.951962,0.563962,1.02107,0.539944,0.974748,0.621361,2.65795,0.621991,2.66386,0.637726,2.68494
0.530797,0.960797,0.568962,1.02984,0.544944,0.98356,0.626464,2.66797,0.627098,2.67378,0.642867,2.69473
0.535797,0.969639,0.573962,1.03861,0.549944,0.99237,0.631558,2.67802,0.632196,2.68374,0.647996,2.70459
0.540797,0.97848,0.578962,1.04738,0.554944,1.00119,0.636644,2.6881,0.637285,2.69374,0.653114,2.7145
0.545797,0.987321,0.583962,1.05615,0.559944,1.01002,0.641723,2.69821,0.642367,2.70378,0.658221,2.72448
0.550797,0.996164,0.588962,1.06494,0.564944,1.01883,0.646794,2.70836,0.647438,2.71384,0.663319,2.73451
0.555797,1.00501,0.593962,1.07372,0.569944,1.02768,0.65186,2.71854,0.652503,2.72394,0.668408,2.74459
0.560797,1.01386,0.598962,1.08251,0.574944,1.03663,0.656919,2.72874,0.657563,2.73407,0.673484,2.7547
0.565797,1.02271,0.603962,1.0913,0.579944,1.04547,0.661971,2.73896,0.662617,2.74424,0.678553,2.76486
0.570797,1.03157,0.608962,1.10009,0.584944,1.05433,0.667009,2.74918,0.667661,2.75441,0.683609,2.77505
0.575797,1.04043,0.613962,1.10889,0.589944,1.06316,0.672043,2.75941,0.672702,2.76462,0.688654,2.78525
0.580797,1.04928,0.618962,1.11769,0.594944,1.07204,0.677073,2.76969,0.677738,2.77485,0.693678,2.79543
0.585797,1.05814,0.623962,1.12649,0.599944,1.08092,0.682101,2.77999,0.68277,2.78511,0.698699,2.80567
0.590797,1.06701,0.628962,1.1353,0.604944,1.0898,0.687125,2.79032,0.687798,2.7954,0.703717,2.81596
0.595797,1.07588,0.633962,1.14411,0.609944,1.09868,0.692147,2.80068,0.692824,2.80572,0.708734,2.8263
0.600797,1.08475,0.638962,1.15292,0.614944,1.10756,0.697168,2.81106,0.697848,2.81606,0.713749,2.83669
0.605797,1.09362,0.643962,1.16174,0.619944,1.11644,0.702186,2.82147,0.702869,2.82643,0.718762,2.84713
