x,N2249,N2571,N3057,x,N2249,N2571,N3057,x,N2249,N2571,N3057
0.314926,-0.0189816,-0.0366603,-0.0464908,0.349656,-0.020883,-0.0402154,-0.0510128,0.328771,-0.020373,-0.0379255,-0.0485088
0.320083,-0.0193409,-0.0372505,-0.0472666,0.355845,-0.0213383,-0.0409957,-0.0520339,0.334005,-0.0207598,-0.0385386,-0.0493267
0.325227,-0.0196985,-0.0378351,-0.0480386,0.36152,-0.021763,-0.0417189,-0.0529804,0.339185,-0.0211399,-0.0391367,-0.0501247
0.330348,-0.0200536,-0.038413,-0.0488014,0.367072,-0.022173,-0.042405,-0.0538826,0.344349,-0.0215164,-0.0397242,-0.0509072
0.335444,-0.0204067,-0.0389862,-0.0495603,0.372461,-0.0225683,-0.0430613,-0.0547504,0.349487,-0.021889,-0.0403022,-0.0516813
0.340519,-0.0207581,-0.0395544,-0.0503121,0.37777,-0.022953,-0.0436928,-0.055588,0.354591,-0.0222579,-0.040872,-0.0524436
0.345576,-0.0211078,-0.0401178,-0.0510579,0.383006,-0.023329,-0.0443053,-0.0564041,0.359659,-0.0226234,-0.0414344,-0.0531982
0.350621,-0.0214565,-0.0406778,-0.0518004,0.388199,-0.0236983,-0.0449019,-0.0571981,0.364712,-0.0229871,-0.0419916,-0.053947
0.355656,-0.0218044,-0.0412346,-0.0525385,0.393368,-0.0240637,-0.0454888,-0.0579788,0.369755,-0.0233494,-0.0425446,-0.054691
0.360685,-0.0221518,-0.0417892,-0.0532756,0.398485,-0.0244222,-0.0460598,-0.0587406,0.374784,-0.0237104,-0.0430951,-0.0554378
0.365708,-0.0224987,-0.0423417,-0.0540099,0.403562,-0.024778,-0.0466258,-0.0594948,0.379811,-0.0240704,-0.043641,-0.0561743
0.370728,-0.0228449,-0.042891,-0.0547393,0.40863,-0.0251312,-0.0471853,-0.060241,0.384835,-0.0244299,-0.0441848,-0.0569093
0.375745,-0.0231919,-0.0434409,-0.0554738,0.413691,-0.0254832,-0.0477403,-0.0609841,0.389855,-0.0247889,-0.0447263,-0.0576412
0.38076,-0.0235383,-0.0439883,-0.0562044,0.418743,-0.0258335,-0.0482909,-0.0617203,0.394873,-0.0251477,-0.0452664,-0.0583723
0.385769,-0.0238844,-0.0445336,-0.0569326,0.423789,-0.0261828,-0.0488384,-0.0624536,0.399888,-0.0255062,-0.0458045,-0.0591009
0.390776,-0.0242306,-0.045078,-0.0576602,0.428825,-0.0265309,-0.0493829,-0.0631832,0.404901,-0.0258646,-0.0463412,-0.0598276
0.395781,-0.0245767,-0.0456207,-0.0583861,0.433854,-0.0268782,-0.0499243,-0.0639084,0.409911,-0.0262228,-0.0468765,-0.0605524
0.400786,-0.0249229,-0.0461624,-0.059111,0.438877,-0.0272246,-0.050463,-0.0646288,0.41492,-0.0265811,-0.0474109,-0.0612764
0.405789,-0.0252691,-0.0467029,-0.0598352,0.443894,-0.0275715,-0.0510022,-0.065354,0.419927,-0.0269394,-0.0479442,-0.062
0.410791,-0.0256155,-0.0472423,-0.0605584,0.448909,-0.0279169,-0.0515368,-0.0660698,0.424932,-0.0272976,-0.0484762,-0.0627212
0.415793,-0.025962,-0.0477807,-0.0612803,0.453921,-0.0282625,-0.0520709,-0.066787,0.429936,-0.0276557,-0.0490069,-0.0634411
0.420794,-0.0263084,-0.0483176,-0.062001,0.45893,-0.0286078,-0.0526036,-0.0675024,0.434939,-0.0280143,-0.0495377,-0.0641611
0.425795,-0.0266552,-0.048854,-0.0627214,0.463937,-0.0289527,-0.0531346,-0.0682154,0.439941,-0.0283726,-0.0500666,-0.0648791
0.430796,-0.0270019,-0.049389,-0.0634416,0.468944,-0.0292978,-0.0536649,-0.0689285,0.444942,-0.0287309,-0.0505944,-0.0655977
0.435796,-0.0273489,-0.0499235,-0.0641599,0.473949,-0.0296426,-0.0541934,-0.0696383,0.449943,-0.0290895,-0.0511218,-0.066316
0.440797,-0.0276958,-0.0504565,-0.0648776,0.478953,-0.0299874,-0.0547209,-0.070347,0.454943,-0.0294482,-0.0516483,-0.0670327
0.445797,-0.028043,-0.0509889,-0.0655941,0.483956,-0.0303324,-0.0552482,-0.0710581,0.459943,-0.0298071,-0.0521747,-0.0677538
0.450797,-0.0283903,-0.0515205,-0.0663102,0.488958,-0.0306771,-0.0557737,-0.0717651,0.464943,-0.0301663,-0.0527003,-0.0684684
0.455797,-0.0287377,-0.0520507,-0.0670251,0.493959,-0.0310218,-0.0562987,-0.0724734,0.469944,-0.0305251,-0.0532243,-0.0691861
0.460797,-0.0290853,-0.0525802,-0.0677392,0.49896,-0.0313661,-0.0568218,-0.0731869,0.474944,-0.0308841,-0.0537474,-0.0698966
0.465797,-0.0294329,-0.0531087,-0.0684522,0.50396,-0.0317106,-0.0573436,-0.0738887,0.479944,-0.0312433,-0.0542693,-0.0706102
0.470797,-0.0297807,-0.0536365,-0.0691644,0.508961,-0.0320559,-0.0578671,-0.0745961,0.484944,-0.0316027,-0.0547905,-0.0713216
0.475797,-0.0301286,-0.0541634,-0.0698767,0.513961,-0.0324003,-0.0583868,-0.0752955,0.489944,-0.0319623,-0.0553112,-0.0720301
0.480797,-0.0304765,-0.0546887,-0.070585,0.518961,-0.0327451,-0.0589071,-0.0759985,0.494944,-0.0323215,-0.0558301,-0.0727403
0.485797,-0.0308247,-0.055214,-0.0712964,0.523961,-0.0330909,-0.0594292,-0.0766945,0.499944,-0.0326813,-0.0563493,-0.0734502
0.490797,-0.0311729,-0.0557383,-0.0720056,0.528962,-0.0334356,-0.0599466,-0.077391,0.504944,-0.033041,-0.056868,-0.0741639
0.495797,-0.0315212,-0.0562613,-0.0727132,0.533962,-0.0337809,-0.0604657,-0.078094,0.509944,-0.0334011,-0.0573865,-0.0748757
0.500797,-0.0318697,-0.056784,-0.0734202,0.538962,-0.0341257,-0.0609822,-0.0787914,0.514944,-0.0337608,-0.0579027,-0.0755825
0.505797,-0.0322184,-0.057306,-0.0741268,0.543962,-0.0344715,-0.0614996,-0.0794823,0.519944,-0.0341207,-0.058418,-0.0762883
0.510797,-0.0325671,-0.0578269,-0.0748323,0.548962,-0.0348172,-0.0620166,-0.080185,0.524944,-0.0344806,-0.0589323,-0.0769912
0.515797,-0.0329158,-0.0583467,-0.0755366,0.553962,-0.0351619,-0.0625297,-0.0808832,0.529944,-0.0348407,-0.0594463,-0.077696
0.520797,-0.0332646,-0.0588657,-0.0762403,0.558962,-0.0355067,-0.063042,-0.0815766,0.534944,-0.035201,-0.05996,-0.0784007
0.525797,-0.0336135,-0.0593841,-0.0769434,0.563962,-0.0358526,-0.0635571,-0.0822699,0.539944,-0.0355609,-0.0604716,-0.0791035
0.530797,-0.0339625,-0.0599016,-0.0776451,0.568962,-0.0361978,-0.064069,-0.0829667,0.544944,-0.0359212,-0.0609841,-0.0797959
0.535797,-0.0343114,-0.0604178,-0.0783459,0.573962,-0.0365433,-0.064581,-0.0836622,0.549944,-0.036282,-0.0614961,-0.0804984
