x,N2249,N2643,N3237,x,N2249,N2643,N3237,x,N2249,N2643,N3237
0.380151,-0.12324,-0.139221,-0.160337,0.377078,-0.121058,-0.138852,-0.158321,0.378693,-0.126419,-0.137261,-0.161373
0.387571,-0.124978,-0.141711,-0.163471,0.384712,-0.122822,-0.141367,-0.161469,0.387235,-0.128513,-0.140055,-0.164933
0.394693,-0.126637,-0.144111,-0.16649,0.392116,-0.124527,-0.143823,-0.164545,0.395467,-0.130523,-0.142772,-0.168384
0.401631,-0.128246,-0.146443,-0.169419,0.39952,-0.126228,-0.14626,-0.167591,0.403795,-0.132549,-0.145483,-0.171828
0.408478,-0.129829,-0.148728,-0.172285,0.406812,-0.127899,-0.148658,-0.170584,0.411834,-0.134496,-0.148117,-0.175172
0.41524,-0.131387,-0.150971,-0.175096,0.413904,-0.129519,-0.150996,-0.1735,0.419607,-0.136367,-0.150674,-0.178459
0.421848,-0.132905,-0.153158,-0.177835,0.420815,-0.13109,-0.153275,-0.17634,0.427381,-0.138239,-0.153172,-0.181445
0.428316,-0.134386,-0.155292,-0.180505,0.427636,-0.132637,-0.155511,-0.179119,0.434813,-0.140016,-0.155605,-0.184529
0.434975,-0.13591,-0.157441,-0.183192,0.434298,-0.134143,-0.157694,-0.181836,0.442034,-0.141734,-0.157964,-0.187513
0.441634,-0.137432,-0.159577,-0.18586,0.440816,-0.135612,-0.159824,-0.184481,0.449061,-0.143398,-0.160256,-0.190406
0.448293,-0.138953,-0.161697,-0.188509,0.447334,-0.137077,-0.161932,-0.187094,0.455912,-0.145015,-0.162484,-0.193216
0.454807,-0.140437,-0.163775,-0.1911,0.453852,-0.138539,-0.16402,-0.189684,0.462676,-0.146606,-0.164665,-0.195965
0.46119,-0.141888,-0.165809,-0.193634,0.460237,-0.139969,-0.166065,-0.192221,0.469287,-0.148157,-0.166792,-0.198642
0.467452,-0.143309,-0.167802,-0.196113,0.466502,-0.141368,-0.168067,-0.194701,0.475897,-0.149704,-0.168893,-0.201282
0.473714,-0.144727,-0.169776,-0.198568,0.472656,-0.142739,-0.170028,-0.197128,0.482368,-0.151215,-0.170945,-0.203863
0.479866,-0.146117,-0.171714,-0.200974,0.47871,-0.144084,-0.17195,-0.199506,0.488838,-0.152723,-0.172976,-0.206413
0.485917,-0.147482,-0.173615,-0.203334,0.484672,-0.145406,-0.173835,-0.201837,0.49518,-0.154199,-0.174963,-0.208909
0.491877,-0.148823,-0.175481,-0.20565,0.49059,-0.146715,-0.175693,-0.204134,0.501405,-0.155644,-0.176909,-0.211348
0.497793,-0.150151,-0.177322,-0.207932,0.496465,-0.148014,-0.177527,-0.206394,0.507524,-0.157061,-0.178814,-0.213735
0.503628,-0.15146,-0.179131,-0.210173,0.502562,-0.149362,-0.179386,-0.208691,0.513545,-0.158454,-0.180682,-0.216072
0.509391,-0.152749,-0.180911,-0.212378,0.508565,-0.150687,-0.181222,-0.210958,0.519477,-0.159822,-0.182514,-0.218365
0.515087,-0.154022,-0.182663,-0.214547,0.514443,-0.151983,-0.183021,-0.21318,0.525889,-0.161306,-0.18442,-0.220756
0.520723,-0.155279,-0.184388,-0.216682,0.520246,-0.15326,-0.184793,-0.215365,0.532178,-0.16276,-0.186302,-0.223116
0.526303,-0.156522,-0.186089,-0.218785,0.525978,-0.154519,-0.186538,-0.217517,0.538355,-0.164187,-0.188152,-0.225434
0.531857,-0.157757,-0.187771,-0.220864,0.531647,-0.155762,-0.188257,-0.219636,0.54443,-0.165587,-0.189972,-0.227712
0.537362,-0.158979,-0.189432,-0.222916,0.537257,-0.15699,-0.189953,-0.221725,0.55041,-0.166964,-0.191761,-0.229949
0.542823,-0.16019,-0.191072,-0.224943,0.542815,-0.158205,-0.191625,-0.223784,0.556306,-0.168319,-0.193521,-0.232148
0.548244,-0.161391,-0.192693,-0.226944,0.548323,-0.159407,-0.193275,-0.225816,0.562123,-0.169653,-0.195253,-0.23431
0.553628,-0.162582,-0.194295,-0.228923,0.553788,-0.160597,-0.194905,-0.227823,0.567869,-0.170969,-0.196958,-0.236437
0.558979,-0.163765,-0.19588,-0.230881,0.559211,-0.161777,-0.196516,-0.229805,0.57355,-0.172268,-0.198638,-0.238531
0.564299,-0.164939,-0.197449,-0.232817,0.564598,-0.162947,-0.198108,-0.231763,0.579147,-0.173545,-0.200289,-0.240588
0.569591,-0.166105,-0.199003,-0.234735,0.569967,-0.164111,-0.199686,-0.233704,0.584693,-0.174809,-0.201916,-0.242616
0.574858,-0.167265,-0.200543,-0.236634,0.575304,-0.165268,-0.201248,-0.235624,0.59019,-0.176059,-0.203523,-0.244617
0.580092,-0.168416,-0.202067,-0.238514,0.580589,-0.166411,-0.202791,-0.23752,0.595627,-0.177294,-0.205106,-0.246588
0.585306,-0.169561,-0.203578,-0.240377,0.585838,-0.167545,-0.204317,-0.239395,0.601025,-0.178519,-0.20667,-0.248537
0.590501,-0.170701,-0.205077,-0.242224,0.591066,-0.168673,-0.205829,-0.241253,0.606375,-0.17973,-0.208213,-0.250458
0.595679,-0.171836,-0.206564,-0.244058,0.596274,-0.169795,-0.207328,-0.243094,0.61167,-0.180928,-0.209736,-0.252353
0.600841,-0.172966,-0.208041,-0.245878,0.60145,-0.170909,-0.208813,-0.244918,0.61693,-0.182115,-0.211242,-0.254226
0.605989,-0.174092,-0.209507,-0.247684,0.606604,-0.172016,-0.210285,-0.246725,0.622166,-0.183297,-0.212733,-0.256079
0.611125,-0.175213,-0.210964,-0.249478,0.611745,-0.17312,-0.211746,-0.248518,0.627382,-0.184472,-0.21421,-0.257917
0.616249,-0.176331,-0.212411,-0.251261,0.616874,-0.174219,-0.213197,-0.250299,0.632571,-0.18564,-0.215674,-0.259736
0.621361,-0.177445,-0.213849,-0.253032,0.621991,-0.175315,-0.214638,-0.252067,0.637726,-0.186799,-0.217123,-0.261537
0.626464,-0.178556,-0.215278,-0.254792,0.627098,-0.176407,-0.21607,-0.253825,0.642867,-0.187954,-0.21856,-0.263324
0.631558,-0.179663,-0.216699,-0.256543,0.632196,-0.177496,-0.217493,-0.255572,0.647996,-0.189104,-0.219987,-0.265097
