x,N3057,x,N3057,x,N3057,x,N3237,x,N3237,x,N3237
0.365708,0.663809,0.403562,0.732317,0.379811,0.689533,0.441634,1.44651,0.440816,1.44718,0.449061,1.46114
0.370728,0.673033,0.40863,0.741734,0.384835,0.698777,0.448293,1.45923,0.447334,1.45955,0.455912,1.47394
0.375745,0.682246,0.413691,0.751107,0.389855,0.708005,0.454807,1.47165,0.453852,1.47196,0.462676,1.48657
0.38076,0.691448,0.418743,0.760438,0.394873,0.717218,0.46119,1.48378,0.460237,1.48408,0.469287,1.49886
0.385769,0.700635,0.423789,0.769736,0.399888,0.726419,0.467452,1.49566,0.466502,1.49594,0.475897,1.51119
0.390776,0.709814,0.428825,0.779004,0.404901,0.735609,0.473714,1.50757,0.472656,1.50757,0.482368,1.52325
0.395781,0.718987,0.433854,0.788246,0.409911,0.74479,0.479866,1.51925,0.47871,1.519,0.488838,1.53535
0.400786,0.728153,0.438877,0.797468,0.41492,0.753964,0.485917,1.53072,0.484672,1.53023,0.49518,1.5472
0.405789,0.737313,0.443894,0.806671,0.419927,0.763131,0.491877,1.54201,0.49059,1.5414,0.501405,1.55882
0.410791,0.746468,0.448909,0.81586,0.424932,0.772291,0.497793,1.55322,0.496465,1.55251,0.507524,1.57023
0.415793,0.755619,0.453921,0.825037,0.429936,0.781445,0.503628,1.56428,0.502562,1.5642,0.513545,1.58146
0.420794,0.764767,0.45893,0.834204,0.434939,0.790595,0.509391,1.5752,0.508565,1.57571,0.519477,1.59253
0.425795,0.773912,0.463937,0.843364,0.439941,0.79974,0.515087,1.58599,0.514443,1.58695,0.525889,1.60482
0.430796,0.783052,0.468944,0.852517,0.444942,0.80888,0.520723,1.59668,0.520246,1.59805,0.532178,1.61688
0.435796,0.79219,0.473949,0.861663,0.449943,0.818017,0.526303,1.60727,0.525978,1.609,0.538355,1.62872
0.440797,0.801326,0.478953,0.870804,0.454943,0.82715,0.531857,1.61783,0.531647,1.61984,0.54443,1.64035
